ts;humidity;light;motion;temperature;vdd
1596229353148;56;1;0;22.2;3561
1596230177075;56;1;0;22.2;3561
1596230874766;56;1;0;22.1;3561
1596231079962;56;1;0;22.1;3561
1596231215243;56;1;0;22.1;3563
1596231350161;56;1;0;22.2;3561
1596231522581;56;1;0;22.1;3561
1596231693392;56;1;0;22.1;3563
1596231996410;56;1;0;22.1;3561
1596232294963;56;1;0;22.1;3561
1596232594399;56;1;0;22.1;3561
1596232892031;56;1;0;22.1;3561
1596233191212;56;1;0;22.1;3561
1596233491037;56;1;0;22.1;3563
1596233791002;56;1;0;22;3561
1596234090763;56;1;0;22.1;3561
1596234390587;56;1;0;22;3561
1596234691347;56;1;0;22;3561
1596234992837;56;1;0;22;3561
1596235290039;56;1;0;22;3561
1596235590947;56;1;0;22;3561
1596235892115;56;1;0;22;3561
1596236190847;56;1;0;22;3561
1596236492614;56;1;0;22;3561
1596236792845;56;1;0;22;3561
1596237092375;56;1;0;22;3561
1596237392250;56;1;0;22;3561
1596237691235;56;1;0;22;3561
1596237993180;56;1;0;22;3561
1596238289979;56;1;0;22;3561
1596238594407;56;1;0;22;3561
1596238892567;56;1;0;22;3561
1596239193155;55;1;0;22;3561
1596239491446;56;1;0;22;3561
1596239794206;56;1;0;21.9;3561
1596240090831;56;1;0;22;3561
1596240393203;56;1;0;21.9;3561
1596240694249;56;1;0;22;3561
1596240992432;56;1;0;22;3561
1596241293246;56;1;0;21.9;3563
1596241592639;55;1;0;22;3561
1596241890371;56;1;0;22;3561
1596242189839;56;1;0;22;3561
1596242493932;56;1;0;21.9;3561
1596242792231;55;1;0;22;3558
1596243093674;55;1;0;21.9;3561
1596243392147;56;1;0;21.9;3561
1596243693211;56;1;0;21.9;3561
1596243991703;56;1;0;21.9;3561
1596244292401;56;1;0;21.9;3561
1596244589989;56;1;0;21.9;3561
1596244892143;55;1;0;21.9;3561
1596245190643;55;1;0;21.9;3561
1596245492759;55;1;0;21.9;3561
1596245790252;55;1;0;21.9;3561
1596246095089;55;1;0;21.9;3561
1596246390415;55;1;0;21.9;3561
1596246695455;55;1;0;21.8;3561
1596246991831;55;1;0;21.9;3561
1596247292803;55;1;0;21.9;3561
1596247592306;55;1;0;21.9;3563
1596247891695;56;1;0;21.8;3561
1596248190851;55;2;0;21.9;3561
1596248492631;55;2;0;21.8;3558
1596248791811;55;2;0;21.9;3561
1596249089947;55;3;0;21.8;3561
1596249394642;55;3;0;21.8;3561
1596249690759;55;4;0;21.8;3561
1596249995457;55;4;0;21.8;3561
1596250290118;55;5;0;21.8;3561
1596250594386;55;4;0;21.9;3561
1596250891155;55;5;0;21.9;3561
