ts;externalTemperature;humidity;light;motion;temperature;vdd
1596229457467;20.2;56;0;2;22.1;3564
1596230771073;20.3;56;0;2;22;3564
1596230900429;20.2;56;0;3;22.1;3564
1596231261652;20.2;56;0;3;22;3564
1596231371754;20.3;56;0;2;22;3564
1596231734219;20.2;56;0;2;22;3564
1596232052536;20.2;56;0;3;22;3567
1596232346435;20.1;56;0;2;22;3564
1596232634242;20.2;56;0;3;22;3564
1596232930067;20.2;56;0;2;22;3564
1596233229432;20.2;56;0;3;22;3564
1596233531203;20.2;56;0;2;22;3564
1596233832068;20.2;56;0;3;22;3564
1596234129231;20.2;56;0;2;22;3564
1596234438263;20.2;56;0;3;22;3564
1596234729799;20.2;56;0;2;22;3564
1596235029046;20.1;56;0;3;21.9;3564
1596235329683;20.2;56;0;2;22;3564
1596235629699;20.1;56;0;3;21.9;3564
1596235931431;20.2;56;0;2;22;3564
1596236232184;20.1;56;0;3;21.9;3564
1596236529431;20.1;56;0;2;21.9;3564
1596236833229;20.1;56;0;3;21.9;3564
1596237128829;20.2;56;0;2;21.9;3564
1596237429115;20.1;56;0;3;22;3564
1596237730951;20.1;56;0;2;21.9;3564
1596238033787;20.1;56;0;3;21.9;3564
1596238330039;20.1;56;0;2;21.9;3564
1596238630502;20.2;56;0;3;21.9;3564
1596238930639;20.2;56;0;2;21.9;3564
1596239237075;20.1;56;0;3;21.9;3564
1596239529631;20.2;56;0;2;21.9;3561
1596239832904;20;56;0;3;21.8;3564
1596240130411;20.1;56;0;2;21.9;3564
1596240431431;20;56;0;3;21.9;3564
1596240731379;20.1;56;0;2;21.9;3564
1596241031671;20;56;0;3;21.8;3564
1596241329179;20.1;56;0;2;21.9;3564
1596241630831;20;56;0;3;21.9;3564
1596241928831;20;56;0;2;21.8;3564
1596242230563;20;56;0;3;21.8;3564
1596242528687;20;56;0;2;21.8;3564
1596242830207;20;56;0;3;21.8;3564
1596243133681;20.2;56;0;2;21.8;3564
1596243428711;20.1;56;0;3;21.8;3564
1596243732950;19.9;56;0;2;21.9;3561
1596244035847;20;56;0;3;21.8;3564
1596244328511;20;56;0;2;21.8;3564
1596244633927;19.8;56;0;3;21.8;3564
1596244928811;19.8;56;0;2;21.8;3564
1596245232588;19.8;56;0;3;21.8;3564
1596245530501;19.7;56;0;2;21.8;3561
1596245829223;19.8;56;0;3;21.8;3564
1596246132635;19.8;56;0;2;21.8;3564
1596246431232;19.7;56;0;3;21.8;3564
1596246734370;19.8;56;0;2;21.8;3564
1596247033015;19.8;56;0;3;21.7;3564
1596247332202;19.7;56;0;2;21.8;3564
1596247630423;19.7;56;0;3;21.8;3564
1596247933538;19.7;56;0;2;21.8;3564
1596248228910;19.9;55;1;3;21.7;3564
1596248531604;19.8;56;1;2;21.8;3564
1596248837385;19.9;56;1;3;21.8;3564
1596249132215;19.8;55;1;2;21.7;3564
1596249429980;19.7;56;1;3;21.7;3561
1596249729619;19.8;56;1;2;21.7;3561
1596250039982;19.8;56;2;3;21.8;3561
1596250328475;19.7;55;2;2;21.7;3561
1596250628190;19.7;56;2;3;21.7;3564
1596250931643;19.8;55;2;2;21.7;3564
1596251237189;19.9;56;2;3;21.7;3564
1596251530683;19.8;55;2;2;21.7;3564
1596251828151;19.7;56;2;3;21.8;3564
1596252129371;19.8;55;2;2;21.7;3561
1596252433403;19.7;56;2;3;21.7;3564
1596252729834;19.7;55;3;2;21.7;3564
1596253039694;19.7;55;3;3;21.7;3561
1596253329743;19.8;55;3;2;21.6;3564
1596253628679;19.8;55;3;3;21.7;3564
1596253929167;19.8;55;4;2;21.7;3564
1596254232910;19.8;55;4;3;21.7;3564
1596254530279;19.7;55;4;2;21.7;3564
1596254834381;19.8;55;4;3;21.7;3564
1596255130047;19.8;55;4;2;21.7;3564
1596255431587;19.7;56;5;3;21.7;3564
