ts;co2;humidity;light;motion;temperature;vdd
1596229257282;403;58;1;0;21.7;3633
1596229797355;395;58;0;0;21.7;3636
1596230675271;398;58;1;0;21.7;3636
1596231037303;395;58;0;0;21.6;3636
1596231183916;403;58;1;0;21.7;3639
1596231498275;401;58;1;0;21.7;3636
1596231668502;402;58;1;0;21.6;3636
1596231937911;404;58;1;0;21.6;3636
1596232250669;397;58;0;0;21.6;3636
1596232538996;397;58;1;0;21.6;3636
1596232833899;398;58;0;0;21.6;3636
1596233134943;398;58;0;0;21.6;3633
1596233435515;399;58;0;0;21.6;3636
1596233734307;405;58;0;0;21.6;3636
1596234034555;394;58;1;0;21.6;3636
1596234334077;401;58;1;0;21.6;3636
1596234635382;395;58;1;0;21.5;3636
1596234935031;391;58;1;0;21.5;3636
1596235234804;395;58;1;0;21.6;3636
1596235535211;395;58;1;0;21.6;3633
1596235834471;396;58;1;0;21.6;3636
1596236135311;394;58;0;0;21.5;3636
1596236436979;399;58;0;0;21.5;3636
1596236734431;400;58;0;0;21.5;3636
1596237034779;399;58;0;0;21.6;3636
1596237335620;403;58;1;0;21.5;3636
1596237636879;392;58;1;0;21.5;3636
1596237935179;405;58;1;0;21.5;3636
1596238236071;405;58;1;0;21.5;3636
1596238535087;395;58;1;0;21.5;3636
1596238836829;402;58;1;0;21.5;3636
1596239135476;396;58;1;0;21.5;3636
1596239437551;401;58;1;0;21.5;3636
1596239735339;398;58;1;0;21.5;3636
1596240037227;404;58;1;0;21.4;3633
1596240339216;402;58;1;0;21.4;3636
1596240636235;400;58;1;0;21.4;3636
1596240934607;405;58;0;0;21.4;3633
1596241234646;406;58;1;0;21.4;3636
1596241536370;403;58;1;0;21.4;3636
1596241833427;407;58;1;0;21.4;3636
1596242135871;399;58;1;0;21.4;3636
1596242434903;404;58;1;0;21.4;3633
1596242736241;401;58;1;0;21.4;3636
1596243033979;400;58;1;0;21.4;3639
1596243334339;388;58;1;0;21.4;3636
1596243634083;397;58;0;0;21.4;3636
1596243958249;395;58;0;0;21.4;3636
1596244235343;409;58;1;0;21.4;3636
1596244534395;393;58;0;0;21.4;3636
1596244833600;407;58;1;0;21.4;3633
1596245135601;404;58;1;0;21.4;3633
1596245435307;404;58;1;0;21.4;3633
1596245737599;404;58;0;0;21.4;3633
1596246033487;409;58;1;0;21.4;3636
1596246334585;406;58;1;0;21.3;3636
1596246634390;403;58;1;0;21.4;3636
1596246935844;399;58;1;0;21.3;3636
1596247235439;400;58;1;0;21.3;3636
1596247536483;409;58;1;0;21.4;3633
1596247833207;404;58;1;0;21.3;3636
1596248136928;403;58;1;0;21.3;3636
1596248435231;399;58;1;0;21.3;3636
1596248736759;402;58;1;0;21.3;3636
1596249037550;409;58;1;0;21.3;3633
1596249336191;402;58;2;0;21.3;3636
1596249636023;404;58;2;0;21.3;3633
1596249934023;405;58;2;0;21.3;3636
1596250235111;398;58;2;0;21.3;3633
1596250534431;402;58;2;0;21.3;3636
1596250837145;404;58;2;0;21.3;3633
1596251135958;402;58;2;0;21.3;3636
1596251437061;398;58;2;0;21.3;3633
1596251734651;397;58;3;0;21.3;3633
1596252035022;408;58;3;0;21.2;3633
1596252335282;406;58;3;0;21.3;3633
1596252636921;404;58;3;0;21.3;3636
1596252934715;398;58;4;0;21.2;3636
1596253246624;397;58;4;0;21.3;3636
1596253533585;401;58;4;0;21.3;3636
1596253834764;403;58;4;0;21.3;3633
1596254133462;407;58;5;0;21.2;3636
1596254436301;406;58;5;0;21.2;3636
1596254734835;409;58;5;0;21.3;3636
1596255035035;395;58;5;0;21.3;3636
1596255334163;395;58;5;0;21.3;3633
1596255634424;405;58;6;0;21.2;3633
1596255936874;405;58;6;0;21.3;3636
1596256237167;398;58;7;0;21.2;3633
1596256538087;413;58;7;0;21.3;3633
1596256835471;403;58;8;0;21.3;3633
1596257137515;408;58;9;0;21.2;3636
1596257435219;408;58;10;0;21.3;3636
1596257735912;405;58;11;0;21.3;3636
1596258034759;406;58;10;0;21.3;3636
1596258334951;403;58;10;0;21.2;3636
1596258633125;409;58;10;0;21.2;3633
1596258936127;410;58;11;0;21.2;3636
1596259233087;400;58;11;0;21.2;3636
1596259533982;404;58;12;0;21.3;3633
1596259833412;398;58;12;0;21.3;3636
1596260137085;403;58;13;0;21.2;3636
1596260433219;401;58;14;0;21.3;3633
1596260737466;404;58;14;0;21.2;3633
1596261033836;398;58;15;0;21.2;3636
1596261337031;407;58;18;0;21.3;3636
1596261749336;398;58;20;0;21.2;3633
1596262341806;407;58;18;0;21.3;3633
1596262884245;408;58;22;0;21.3;3633
1596263164708;401;58;25;0;21.3;3636
1596263473842;411;58;20;0;21.3;3633
1596263733590;411;58;22;0;21.3;3633
1596264033631;402;58;17;0;21.3;3633
1596264335610;404;58;17;0;21.3;3633
1596264633231;416;58;19;0;21.3;3633
1596264932496;400;58;16;0;21.3;3636
1596265233307;404;58;15;0;21.3;3636
1596265536441;401;58;11;0;21.3;3633
1596265832856;393;58;9;0;21.3;3633
1596266134488;403;58;9;0;21.3;3636
1596266434259;407;58;9;0;21.4;3636
1596266737303;407;58;11;0;21.3;3636
1596267033271;401;58;12;0;21.4;3636
1596267335967;397;58;15;0;21.4;3636
1596267632847;404;58;15;0;21.4;3636
1596267936747;405;58;17;0;21.4;3633
1596268234199;403;58;16;0;21.3;3633
1596268533799;405;58;17;0;21.3;3633
1596268837005;401;58;16;0;21.4;3633
1596269134231;401;58;17;0;21.3;3636
1596269438330;407;58;23;0;21.4;3633
1596269735313;398;58;27;0;21.3;3633
1596270032423;399;58;24;0;21.4;3636
1596270334786;391;58;26;0;21.4;3636
1596270632550;403;58;28;0;21.4;3633
1596270937449;403;58;27;0;21.4;3633
1596271249875;401;58;24;0;21.4;3633
1596271533621;406;58;25;0;21.4;3633
1596271835661;399;58;24;0;21.4;3636
1596272132607;401;58;27;0;21.4;3636
1596272433156;399;58;26;0;21.4;3636
1596272734607;399;58;23;0;21.4;3633
1596273033055;400;58;28;0;21.4;3633
1596273332157;402;58;24;0;21.4;3633
1596273632831;402;58;27;0;21.4;3633
1596273933404;408;58;25;0;21.4;3633
1596274232743;401;58;30;0;21.4;3636
1596274535760;394;58;60;0;21.4;3636
1596274832831;398;58;27;0;21.5;3633
1596275135086;390;58;19;0;21.4;3636
1596275432472;392;58;16;0;21.4;3636
1596275734118;398;57;15;0;21.5;3636
1596276033943;391;57;13;0;21.5;3633
1596276334831;399;58;13;0;21.5;3636
1596276633247;403;57;14;0;21.4;3633
1596276935667;396;58;14;0;21.5;3633
1596277232815;399;58;23;0;21.5;3633
1596277535147;396;58;43;0;21.4;3633
1596277833023;395;58;27;0;21.5;3636
1596278134631;402;58;14;0;21.5;3636
1596278434778;390;58;15;0;21.5;3636
1596278734507;402;57;11;0;21.5;3633
1596279036638;398;57;11;0;21.5;3633
1596279334247;395;58;12;0;21.5;3633
1596279630883;403;57;14;0;21.5;3633
1596279934317;398;58;12;0;21.5;3633
1596280235808;407;58;11;0;21.5;3633
1596280533708;397;58;10;0;21.5;3636
1596280831943;402;58;11;0;21.5;3636
1596281133375;399;58;14;0;21.5;3633
1596281431891;391;57;14;0;21.5;3633
1596281732195;400;57;13;0;21.5;3633
1596282032395;400;58;13;0;21.5;3633
1596282332599;391;58;11;0;21.5;3633
1596282632483;392;58;39;0;21.5;3633
1596282933451;399;58;45;0;21.5;3633
1596283234467;401;57;49;0;21.5;3633
