ts;tr5;tr6;tr7;tw;twt;deltat
1591724321;20.181;20.1010705;20.100;24.500;1591724321;0
1591724660;20.123;20.0829163;20.103;24.400;1591724661;-1
1591724999;20.098;20.0497550;20.145;24.300;1591725000;-1
1591725338;20.100;20.0159424;20.148;24.500;1591725339;-1
1591725677;20.100;19.9956961;20.032;24.400;1591725678;-1
1591726016;20.100;19.9935581;20.059;24.400;1591726017;-1
1591726355;20.102;19.9987495;20.113;23.900;1591726356;-1
1591726695;20.096;20.0002553;20.009;24.100;1591726695;0
1591727034;20.124;19.9990637;19.911;24.000;1591727034;0
1591727373;20.117;19.9980945;19.856;23.800;1591727373;0
1591727712;19.999;19.9974950;19.836;23.600;1591727712;0
1591728051;20.098;19.9973967;19.843;23.700;1591728051;0
1591728390;20.009;19.9979310;19.870;23.600;1591728390;0
1591728729;20.088;19.9992292;19.910;23.300;1591728730;-1
1591729068;19.956;20.0007373;19.956;23.300;1591729069;-1
1591729407;19.947;19.9930072;19.998;23.200;1591729408;-1
1591729746;19.992;19.9735888;20.032;23.200;1591729747;-1
1591730085;20.002;19.9484574;20.057;23.200;1591730086;-1
1591730424;20.000;19.9236899;20.073;23.100;1591730425;-1
1591730764;20.085;19.9053634;20.081;23.000;1591730764;0
1591731103;20.079;19.8992696;20.083;22.900;1591731103;0
1591731442;19.990;19.9007788;20.078;22.600;1591731442;0
1591731781;19.999;19.9013153;20.068;22.800;1591731781;0
1591732120;20.013;19.9010148;20.054;22.500;1591732120;0
1591732459;19.911;19.9003976;20.036;22.600;1591732459;0
1591732798;19.989;19.8999836;20.015;22.600;1591732799;-1
1591733137;20.038;19.9001228;19.993;22.500;1591733138;-1
1591733476;19.993;19.9006504;19.970;22.300;1591733477;-1
1591733815;19.962;19.9013051;19.946;22.400;1591733816;-1
1591734154;19.954;19.9018255;19.923;22.500;1591734155;-1
1591734493;19.966;19.9019503;19.902;22.300;1591734494;-1
1591734832;19.991;19.9014180;19.882;22.300;1591734833;-1
1591735172;20.008;19.8999674;19.866;22.000;1591735172;0
1591735511;19.905;19.8979100;19.851;22.100;1591735511;0
1591735850;19.877;19.8977395;19.838;22.000;1591735850;0
1591736189;19.902;19.9023948;19.828;22.100;1591736189;0
1591736528;19.899;19.9111801;19.819;21.900;1591736528;0
1591736867;19.900;19.9181821;19.812;22.100;1591736867;0
1591737206;19.900;19.9170838;19.806;21.700;1591737207;-1
1591737545;19.900;19.9015682;19.802;22.000;1591737546;-1
1591737884;19.900;19.8681214;19.800;21.900;1591737885;-1
1591738223;19.900;19.8267201;19.798;21.800;1591738224;-1
1591738562;19.900;19.7913305;19.798;21.900;1591738563;-1
1591738901;19.900;19.7701990;19.798;21.900;1591738902;-1
1591739241;19.900;19.7614517;19.798;21.500;1591739241;0
1591739580;19.900;19.7621791;19.799;21.700;1591739580;0
1591739919;19.900;19.7694717;19.800;21.600;1591739919;0
