ts;humidity;light;motion;temperature;vdd
1591722928221;69;3;0;20.1;3561
1591723228191;69;2;0;20.1;3561
1591723528190;69;2;0;20.1;3561
1591724128173;69;2;0;20.1;3558
1591724428122;69;2;0;20.2;3561
1591724728111;69;1;0;20.1;3558
1591725028098;69;1;0;20.1;3561
1591725328098;69;1;0;20.1;3558
1591725628084;69;1;0;20.1;3561
1591725928050;69;1;0;20.1;3561
1591726528020;69;2;0;20.1;3561
1591726828010;69;1;0;20.1;3561
1591727427966;69;1;0;20.1;3558
1591727727973;69;1;0;20;3558
1591728027955;69;1;0;20.1;3558
1591728327941;69;1;0;20;3561
1591728627932;69;1;0;20.1;3561
1591728927881;69;1;0;20;3561
1591729827830;69;1;0;20;3561
1591730127829;69;1;0;20;3561
1591730427841;69;1;0;20;3558
1591731027801;69;1;0;20.1;3558
1591731327786;69;1;0;20;3561
1591731627754;69;1;0;20;3558
1591731927730;69;1;0;20;3561
1591732227729;69;1;0;20;3561
1591732527716;69;1;0;19.9;3558
1591732827713;69;1;0;20;3558
1591733427680;69;1;0;20;3558
1591734927582;69;1;0;20;3558
1591735227563;69;1;0;20;3561
1591735527571;69;1;0;19.9;3561
1591736127528;69;1;0;19.9;3561
1591736427526;69;1;0;19.9;3561
1591736727494;69;1;0;19.9;3561
1591737027483;69;1;0;19.9;3558
1591737327456;69;1;0;19.9;3558
1591737627449;70;1;0;19.9;3558
1591738227445;70;1;0;19.9;3561
1591739127365;70;1;0;19.9;3561
1591739427356;70;1;0;19.9;3558
1591739727327;70;1;0;19.9;3561
1591740027328;70;0;0;19.9;3558
1591740327292;70;1;0;19.9;3561
1591740927299;70;1;0;19.9;3561
1591741227265;70;1;0;19.9;3558
1591741527272;70;1;0;19.9;3561
1591741827236;70;1;0;19.9;3561
1591742127222;70;1;0;19.9;3561
1591742427208;70;1;0;19.9;3561
1591742727189;70;1;0;19.9;3558
1591743027198;70;1;0;19.9;3558
1591743327173;70;1;0;19.9;3558
1591743627168;70;1;0;19.9;3558
1591743927152;70;1;0;19.9;3558
1591744227120;70;1;0;19.9;3561
1591744827074;71;1;0;19.9;3558
1591745127061;71;1;0;19.8;3558
1591745427053;71;1;0;19.8;3558
1591745727060;71;1;0;19.8;3558
1591746027066;71;1;0;19.8;3558
1591746327024;71;1;0;19.8;3558
1591746626990;71;1;0;19.8;3558
