ts;externalTemperature;humidity;light;motion;temperature;vdd
1591723177655;19.3;69;1;3;20.1;3494
1591724067305;19.1;69;1;2;20.1;3494
1591724367288;19.1;69;1;3;20.1;3494
1591725567197;19.2;69;0;3;20;3494
1591726467130;19.1;69;0;2;20;3494
1591726767151;19.1;69;0;3;20;3494
1591728866954;18.9;69;0;2;20;3494
1591729166933;19;69;0;3;20;3494
1591730966796;19;69;0;3;19.9;3492
1591731266760;19;69;0;2;19.9;3494
1591732766646;18.9;69;0;3;19.9;3494
1591735166461;18.8;69;0;3;19.9;3494
1591736066386;18.8;69;0;2;19.9;3494
1591737566274;18.7;69;0;3;19.9;3494
1591738466204;18.7;70;0;2;19.8;3494
1591740866022;18.7;70;0;2;19.8;3492
1591741165976;18.7;70;0;3;19.8;3494
1591742965850;18.6;71;0;3;19.7;3494
1591743265842;18.8;71;0;2;19.8;3492
1591744165795;18.7;71;0;3;19.8;3492
1591746265636;18.6;71;0;2;19.8;3489
1591747765513;18.6;71;0;3;19.8;3494
1591749565366;18.6;72;0;3;19.7;3494
1591750165365;18.7;72;0;3;19.7;3492
1591750465286;18.6;72;0;2;19.8;3494
1591751065237;18.6;72;0;2;19.7;3492
1591751965192;18.6;72;1;3;19.7;3494
1591752865134;18.6;72;1;2;19.7;3494
1591754065010;18.7;72;2;2;19.7;3492
1591754364984;18.7;72;2;3;19.7;3494
1591754964939;18.6;72;3;3;19.7;3494
1591755264921;18.8;72;3;2;19.8;3492
1591756764835;18.7;72;5;3;19.8;3494
1591757664758;18.8;72;7;2;19.7;3492
1591759164636;18.8;72;9;3;19.8;3492
1591760064575;18.8;72;11;2;19.8;3492
1591760664497;18.8;72;12;2;19.8;3494
1591761564455;18.9;71;13;3;19.9;3494
1591762164388;18.9;71;14;3;19.8;3494
1591763064341;19;71;15;2;19.9;3494
1591764564207;19;71;18;3;19.9;3494
1591764864196;19;71;18;2;19.9;3494
1591765164185;19.1;71;19;3;19.9;3492
1591766364053;19.2;71;23;3;20;3494
1591774463458;20;69;35;2;20.3;3494
1591776563305;20;69;37;3;20.4;3494
1591776863278;20;69;37;2;20.4;3494
1591779263082;20.2;69;46;2;20.5;3494
1591780762984;20.4;68;45;3;20.5;3499
1591783762735;20.6;68;24;3;20.7;3499
1591786162570;20.6;68;47;3;20.8;3499
1591787962430;20.6;68;60;3;20.8;3499
1591790962194;20.6;67;2;3;20.9;3499
1591793361998;20.2;67;0;3;20.9;3499
1591799061554;19.3;68;0;2;20.6;3497
1591799661541;19.4;68;0;2;20.6;3499
1591800561439;19.3;68;0;3;20.5;3499
1591810460684;19.4;72;1;2;20.4;3499
1591814960364;18.9;72;0;3;20.3;3497
1591818260081;19;72;0;2;20.2;3494
1591828459360;18.8;71;0;2;20.1;3494
