ts;co2;humidity;light;motion;temperature;vdd
1591722821942;459;70;2;0;20.1;3636
1591724321849;453;71;1;0;20.1;3639
1591724621831;459;71;1;0;20.1;3636
1591725521749;451;71;1;0;20.1;3639
1591725821748;457;71;1;0;20;3636
1591726121743;457;71;1;0;20.1;3639
1591726421720;451;71;0;0;20.1;3639
1591726721704;451;71;1;0;20;3639
1591729421484;446;71;1;0;20;3639
1591734521151;450;71;1;0;19.9;3639
1591737820930;443;72;1;0;19.8;3636
1591739920773;436;72;0;0;19.8;3639
1591741420698;437;72;1;0;19.8;3639
1591742320627;441;72;1;0;19.8;3636
1591742620600;437;72;1;0;19.8;3636
1591744720453;432;73;1;0;19.7;3639
1591747720266;441;73;1;0;19.8;3639
1591748620175;442;73;1;0;19.7;3639
1591749220163;439;72;1;0;19.7;3639
1591749520134;441;72;0;0;19.7;3639
1591752519917;428;72;1;0;19.7;3639
1591753419879;440;72;2;0;19.7;3639
1591754619777;437;72;3;0;19.7;3639
1591754919763;431;72;3;0;19.7;3639
1591755519734;435;73;4;0;19.7;3639
1591755819717;429;73;4;0;19.7;3639
1591757319603;429;73;7;0;19.6;3636
1591759719448;431;73;11;0;19.8;3636
1591761819338;423;73;15;0;19.7;3639
1591766019020;426;72;29;0;19.8;3639
1591767218909;433;72;30;0;19.8;3639
1591767818898;434;71;29;0;19.9;3636
1591769318769;429;71;29;0;19.9;3639
1591769918734;435;71;32;0;20;3639
1591770818701;438;71;31;0;20;3636
1591771718626;438;71;31;0;20;3639
1591772618737;439;71;34;0;20;3639
1591773518496;438;71;37;0;20.1;3636
1591774718433;450;71;41;0;20.1;3639
1591775018410;457;71;41;0;20.1;3639
1591775618355;464;71;44;0;20.2;3639
1591777118275;464;71;48;0;20.3;3639
1591777418255;470;71;46;0;20.3;3639
1591777718227;473;71;48;0;20.3;3636
1591779218142;482;71;32;0;20.3;3639
1591779818068;479;70;50;0;20.4;3639
1591780118057;475;70;51;0;20.4;3636
1591780418035;473;70;50;0;20.4;3639
1591781317991;485;70;50;0;20.5;3639
1591782217906;511;70;52;0;20.5;3639
1591782517869;495;70;54;0;20.6;3636
1591783717812;499;70;51;0;20.6;3636
1591784317774;508;70;56;0;20.6;3639
1591784617748;509;70;29;0;20.7;3639
1591785517712;503;70;32;0;20.6;3639
1591785817714;510;69;26;0;20.7;3639
1591786117653;500;69;51;0;20.7;3636
1591786417628;522;69;48;0;20.7;3636
1591787017643;518;69;52;0;20.7;3639
1591787917550;517;69;60;0;20.7;3639
1591788517480;505;69;30;0;20.8;3639
1591789417445;498;69;32;0;20.8;3639
1591790317347;522;69;23;0;20.8;3639
1591790617342;511;69;11;0;20.9;3639
1591790917327;529;69;4;0;20.8;3639
1591791517277;524;69;1;0;20.9;3639
1591792417218;521;69;1;0;20.8;3639
1591793017175;511;69;1;0;20.9;3636
1591793317183;510;69;1;0;20.8;3639
1591793917115;498;69;1;0;20.8;3639
1591794217095;497;69;1;0;20.8;3639
1591794817060;482;68;1;0;20.8;3636
1591795717030;472;69;1;0;20.8;3639
1591796316972;479;69;1;0;20.7;3639
1591796616935;476;69;1;0;20.7;3639
1591796916904;468;69;1;0;20.7;3636
1591797216892;463;69;1;0;20.7;3639
1591797516876;470;69;1;0;20.7;3639
1591797816869;457;69;1;0;20.7;3639
1591799016769;474;69;1;0;20.6;3639
1591799616746;456;70;1;0;20.6;3639
1591800516671;465;70;1;0;20.6;3639
1591801416590;470;70;1;0;20.5;3639
1591802016585;470;70;1;0;20.5;3639
1591802316557;468;70;1;0;20.5;3639
1591802916540;468;70;1;0;20.5;3639
1591803516466;462;70;1;0;20.5;3639
1591803816463;468;70;1;0;20.4;3639
1591804416420;475;70;1;0;20.5;3639
1591805016368;470;70;1;0;20.4;3639
1591805316346;462;70;1;0;20.4;3639
1591805616328;470;70;1;0;20.4;3636
1591806216280;462;70;1;0;20.4;3639
1591806516283;461;70;1;0;20.4;3639
1591806816265;465;71;1;0;20.4;3639
1591807116225;456;70;1;0;20.3;3639
1591807716182;468;71;1;0;20.3;3639
1591808316151;471;71;1;0;20.3;3639
1591808916095;464;71;1;0;20.3;3639
1591809516052;463;71;1;0;20.3;3639
1591809816036;464;71;1;0;20.3;3639
1591810116071;475;71;1;0;20.3;3639
1591810716002;459;71;1;0;20.3;3639
1591811015953;457;71;1;0;20.3;3639
1591811315931;465;71;1;0;20.2;3639
1591811615909;465;72;1;0;20.3;3639
1591811915898;461;72;1;0;20.2;3639
1591812215894;460;72;1;0;20.3;3639
1591812515875;463;72;1;0;20.3;3639
1591813715767;457;72;1;0;20.2;3639
1591814015755;460;72;1;0;20.2;3639
1591814915695;463;72;1;0;20.2;3639
1591815815634;459;72;1;0;20.1;3639
1591817015558;458;72;0;0;20.1;3639
1591817315526;464;72;0;0;20.2;3639
1591817615513;460;72;0;0;20.1;3639
1591819415413;474;72;0;0;20.1;3639
1591820015340;450;72;1;0;20.1;3639
1591820915294;450;72;0;0;20.1;3639
1591821515232;463;72;1;0;20.1;3639
1591821815234;458;72;1;0;20.1;3639
1591822115208;455;72;1;0;20;3639
1591823915081;458;71;1;0;20.1;3639
1591824515039;466;71;1;0;20;3639
1591825414997;451;71;1;0;20.1;3636
1591825714959;455;71;1;0;20;3639
1591826614899;454;71;0;0;20;3639
1591829014739;458;71;1;0;20;3639
1591829614712;459;71;0;0;20;3639
1591830514626;461;71;1;0;20;3639
1591830814599;458;71;1;0;20;3639
1591832614483;462;71;0;0;20;3636
1591832914456;460;71;1;0;19.9;3639
1591833214470;453;71;1;0;19.9;3639
1591833514445;459;71;0;0;20;3639
1591833814432;465;70;1;0;20;3639
1591834114414;463;70;1;0;20;3636
1591834414369;452;70;1;0;20;3639
1591834714327;462;70;1;0;20;3639
1591835314331;458;70;1;0;20;3639
1591835614307;463;70;1;0;20;3639
1591836214242;457;70;1;0;20;3639
1591836514209;460;70;1;0;20;3639
1591837714168;464;70;1;0;20;3639
1591838614081;459;70;1;0;20;3639
1591839514043;457;70;1;0;19.9;3639
1591839814025;465;70;1;0;20;3639
1591840113996;460;70;2;0;20;3636
1591840413976;459;70;2;0;20;3639
1591841013923;458;70;2;0;20;3639
1591842213864;461;71;4;0;20;3636
1591842513844;463;71;5;0;20;3639
1591843113776;463;71;6;0;20;3639
1591843413769;457;71;6;0;19.9;3639
1591843713757;468;71;6;0;20;3639
1591844013739;456;71;7;0;20;3639
1591846113596;455;72;11;0;20;3639
1591847013517;457;72;13;0;20;3639
1591847313496;469;72;13;0;20;3636
1591847913472;458;72;15;0;20;3639
1591848213454;451;72;14;0;20;3639
1591849713332;468;72;19;0;20.1;3639
1591850013329;460;72;20;0;20.1;3639
1591850313308;460;72;21;0;20.1;3639
1591850613287;460;72;21;0;20.1;3639
1591850913251;455;72;22;0;20.1;3639
1591851813199;462;72;25;0;20.1;3639
1591853013126;463;72;27;0;20.1;3639
1591855112988;458;72;29;0;20.3;3639
1591856612880;461;72;30;0;20.3;3639
1591859012719;462;72;33;0;20.4;3639
1591859912648;458;72;35;0;20.5;3639
1591860212622;459;72;35;0;20.4;3639
